Taxon,Kingdom,Phylum,Class,Order,Family,Genus,Species,Subspecies
Chryseobacterium koreense,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Weeksellaceae,Chryseobacterium,Chryseobacterium koreense
Ligilactobacillus agilis,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus,Ligilactobacillus agilis
Candidatus Microsaccharimonas sossegonensis,Bacteria,Candidatus,Candidatus,Candidatus,Candidatus,Candidatus,Candidatus Microsaccharimonas sossegonensis
Ectopseudomonas guguanensis,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Ectopseudomonas,Ectopseudomonas guguanensis
Sediminibacterium magnilacihabitans,Bacteria,Bacteroidota,Chitinophagia,Chitinophagales,Chitinophagaceae,Sediminibacterium,Sediminibacterium magnilacihabitans
Prototheca wickerhamii,Bacteria,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Prototheca,Prototheca wickerhamii
Entomohabitans teleogrylli,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Entomohabitans,Entomohabitans teleogrylli
Shewanella algae,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella algae
Paucilactobacillus nenjiangensis,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Paucilactobacillus,Paucilactobacillus nenjiangensis
Phytobacter diazotrophicus,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Phytobacter,Phytobacter diazotrophicus
Companilactobacillus formosensis,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,Companilactobacillus formosensis
Vibrio mangrovi,Bacteria,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio mangrovi
Limosilactobacillus pontis,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus pontis
Limosilactobacillus alvi,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus alvi
Pseudodesulfovibrio senegalensis,Bacteria,Thermodesulfobacteriota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Pseudodesulfovibrio,Pseudodesulfovibrio senegalensis
Propioniciclava flava,Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,Propioniciclava,Propioniciclava flava
Dellaglioa algida,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Dellaglioa,Dellaglioa algida
Ligilactobacillus faecis,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus,Ligilactobacillus faecis
Paracidovorax wautersii,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Paracidovorax,Paracidovorax wautersii
Caballeronia telluris,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Caballeronia,Caballeronia telluris
Limosilactobacillus gastricus,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus gastricus
Limosilactobacillus frumenti,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus frumenti
Leuconostoc gasicomitatum,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Leuconostoc,Leuconostoc gasicomitatum
Desulforamulus ruminis,Bacteria,Bacillota,Clostridia,Eubacteriales,Peptococcaceae,Desulforamulus,Desulforamulus ruminis
Ligilactobacillus apodemi,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus,Ligilactobacillus apodemi
Limosilactobacillus antri,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus antri
Caenorhabditis elegans,Bacteria,Nematoda,Chromadorea,Rhabditida,Rhabditidae,Caenorhabditis,Caenorhabditis elegans
Companilactobacillus alimentarius,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,Companilactobacillus alimentarius
Chryseobacterium gallinarum,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Weeksellaceae,Chryseobacterium,Chryseobacterium gallinarum
Paracidovorax citrulli,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Paracidovorax,Paracidovorax citrulli
Latilactobacillus fuchuensis,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Latilactobacillus,Latilactobacillus fuchuensis
Pseudomonas boreopolis,Bacteria,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Lysobacteraceae_g,Pseudomonas boreopolis
Noviherbaspirillum denitrificans,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Noviherbaspirillum,Noviherbaspirillum denitrificans
Leuconostoc gelidum,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Leuconostoc,Leuconostoc gelidum
Mycoplasmopsis fermentans,Bacteria,Mycoplasmatota,Mycoplasmatota_c,Mycoplasmoidales,Metamycoplasmataceae,Mycoplasmopsis,Mycoplasmopsis fermentans
Metarhizobium album,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Metarhizobium,Metarhizobium album
Oceanidesulfovibrio marinus,Bacteria,Thermodesulfobacteriota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Oceanidesulfovibrio,Oceanidesulfovibrio marinus
Metaclostridioides mangenotii,Bacteria,Bacillota,Clostridia,Peptostreptococcales,Peptostreptococcaceae,Metaclostridioides,Metaclostridioides mangenotii
Ureibacillus xyleni,Bacteria,Bacillota,Bacilli,Bacillales,Caryophanaceae,Ureibacillus,Ureibacillus xyleni
Heyndrickxia coagulans,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Heyndrickxia,Heyndrickxia coagulans
Khoudiadiopia massiliensis,Bacteria,Bacillota,Tissierellia,Tissierellales,Peptoniphilaceae,Khoudiadiopia,Khoudiadiopia massiliensis
Lactobacillus crispatus,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus crispatus
Modicisalibacter muralis,Bacteria,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Modicisalibacter,Modicisalibacter muralis
Roseateles puraquae,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Sphaerotilaceae,Roseateles,Roseateles puraquae
Lentilactobacillus parafarraginis,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lentilactobacillus,Lentilactobacillus parafarraginis
Lactiplantibacillus pentosus,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactiplantibacillus,Lactiplantibacillus pentosus
Ectopseudomonas alcaliphila,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Ectopseudomonas,Ectopseudomonas alcaliphila
Paucidesulfovibrio longus,Bacteria,Thermodesulfobacteriota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Paucidesulfovibrio,Paucidesulfovibrio longus
Respirovirus pneumoniae,Bacteria,Negarnaviricota,Monjiviricetes,Mononegavirales,Paramyxoviridae,Respirovirus,Respirovirus pneumoniae
Lentilactobacillus senioris,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lentilactobacillus,Lentilactobacillus senioris
Clostridium bovifaecis,Bacteria,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium bovifaecis
Propioniciclava sinopodophylli,Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,Propioniciclava,Propioniciclava sinopodophylli
Falsigemmobacter intermedius,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Falsigemmobacter,Falsigemmobacter intermedius
Pseudaquabacterium pictum,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Sphaerotilaceae,Pseudaquabacterium,Pseudaquabacterium pictum
Prescottella soli,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,Prescottella,Prescottella soli
Gemmobacter nectariphilus,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Gemmobacter,Gemmobacter nectariphilus
Pseudoluteimonas lycopersici,Bacteria,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Pseudoluteimonas,Pseudoluteimonas lycopersici
Stutzerimonas nosocomialis,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Stutzerimonas,Stutzerimonas nosocomialis
Stutzerimonas nitrititolerans,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Stutzerimonas,Stutzerimonas nitrititolerans
Mycolicibacterium parafortuitum,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium parafortuitum
Mycolicibacterium diernhoferi,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium diernhoferi
Venatoribacter cucullus,Bacteria,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Venatoribacter,Venatoribacter cucullus
Mesorhizobium koreense,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,Mesorhizobium,Mesorhizobium koreense
Propioniciclava coleopterorum,Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,Propioniciclava,Propioniciclava coleopterorum
Ureibacillus massiliensis,Bacteria,Bacillota,Bacilli,Bacillales,Caryophanaceae,Ureibacillus,Ureibacillus massiliensis
Wumivirus millepedae,Bacteria,Negarnaviricota,Ellioviricetes,Bunyavirales,Wupedeviridae,Wumivirus,Wumivirus millepedae
Mycolicibacterium mageritense,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium mageritense
Cognatiluteimonas lumbrici,Bacteria,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Cognatiluteimonas,Cognatiluteimonas lumbrici
Denitrificimonas caeni,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Denitrificimonas,Denitrificimonas caeni
Comamonas phosphati,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Comamonas,Comamonas phosphati
Ureibacillus acetophenoni,Bacteria,Bacillota,Bacilli,Bacillales,Caryophanaceae,Ureibacillus,Ureibacillus acetophenoni
Solilutibacter tolerans,Bacteria,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Solilutibacter,Solilutibacter tolerans
Acetivibrio alkalicellulosi,Bacteria,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Acetivibrio,Acetivibrio alkalicellulosi
Staphylococcus pragensis,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus pragensis
Alteracholeplasma palmae,Bacteria,Mycoplasmatota,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Alteracholeplasma,Alteracholeplasma palmae
Metapseudomonas otitidis,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Metapseudomonas,Metapseudomonas otitidis
Corallococcus macrosporus,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus macrosporus
Streptomyces cinereus,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces cinereus
Mycolicibacterium gilvum,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium gilvum
Pseudoroseomonas ludipueritiae,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Pseudoroseomonas,Pseudoroseomonas ludipueritiae
Gulosibacter faecalis,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Gulosibacter,Gulosibacter faecalis
Escherichia hominis,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia hominis
Flavobacterium gilvum,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium gilvum
Aquipseudomonas guryensis,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Aquipseudomonas,Aquipseudomonas guryensis
Metalysinibacillus saudimassiliensis,Bacteria,Bacillota,Bacilli,Bacillales,Caryophanaceae,Metalysinibacillus,Metalysinibacillus saudimassiliensis
Mycobacterium kansasii,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium kansasii
Alkalicoccobacillus gibsonii,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Alkalicoccobacillus,Alkalicoccobacillus gibsonii
Rhodococcoides kroppenstedtii,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,Rhodococcoides,Rhodococcoides kroppenstedtii
Peptoniphilus equinus,Bacteria,Bacillota,Tissierellia,Tissierellales,Peptoniphilaceae,Peptoniphilus,Peptoniphilus equinus
Microbacterium xylanilyticum,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium xylanilyticum
Fusobacterium naviforme,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium naviforme
Hallella bergensis,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Hallella,Hallella bergensis
Hoylesella buccalis,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Hoylesella,Hoylesella buccalis
Corynebacterium urinipleomorphum,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium urinipleomorphum
Aedoeadaptatus pacaensis,Bacteria,Bacillota,Tissierellia,Tissierellales,Peptoniphilaceae,Aedoeadaptatus,Aedoeadaptatus pacaensis
Allorhizobium pseudoryzae,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Allorhizobium,Allorhizobium pseudoryzae
Gulosibacter bifidus,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Gulosibacter,Gulosibacter bifidus
Aliigemmobacter aestuarii,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Aliigemmobacter,Aliigemmobacter aestuarii
Aedoeadaptatus urinae,Bacteria,Bacillota,Tissierellia,Tissierellales,Peptoniphilaceae,Aedoeadaptatus,Aedoeadaptatus urinae
Streptococcus oralis,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus oralis
Negativicoccus massiliensis,Bacteria,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Negativicoccus,Negativicoccus massiliensis
Paractinoplanes ferrugineus,Bacteria,Actinomycetota,Actinomycetes,Micromonosporales,Micromonosporaceae,Paractinoplanes,Paractinoplanes ferrugineus
Tabrizicola soli,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Tabrizicola,Tabrizicola soli
Geopseudomonas guangdongensis,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Geopseudomonas,Geopseudomonas guangdongensis
Actinoplanes liguriensis,Bacteria,Actinomycetota,Actinomycetes,Micromonosporales,Micromonosporaceae,Actinoplanes,Actinoplanes liguriensis
Streptomyces cacaoi,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces cacaoi
Enterobacter lignolyticus,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Pluralibacter,Enterobacter lignolyticus
Anaerococcus pacaensis,Bacteria,Bacillota,Tissierellia,Tissierellales,Peptoniphilaceae,Anaerococcus,Anaerococcus pacaensis
Eubacterium nodatum,Bacteria,Bacillota,Clostridia,Peptostreptococcales,Anaerovoracaceae,Anaerovoracaceae_g,Eubacterium nodatum
Urinicoccus massiliensis,Bacteria,Bacillota,Tissierellia,Tissierellales,Peptoniphilaceae,Urinicoccus,Urinicoccus massiliensis
Gemelliphila asaccharolytica,Bacteria,Bacillota,Bacilli,Bacillales,Gemellaceae,Gemelliphila,Gemelliphila asaccharolytica
Lachnoclostridium phocaeense,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lachnoclostridium,Lachnoclostridium phocaeense
Pseudopropionibacterium massiliense,Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,Arachnia,Pseudopropionibacterium massiliense
Atlantibacter hermannii,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Atlantibacter,Atlantibacter hermannii
Eubacterium hominis,Bacteria,Bacillota,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Amedibacillus,Eubacterium hominis
Klebsiella electrica,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella electrica
Bifidobacterium pullorum,Bacteria,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium pullorum
Eubacterium sulci,Bacteria,Bacillota,Clostridia,Peptostreptococcales,Anaerovoracaceae,Anaerovoracaceae_g,Eubacterium sulci
Eubacterium saphenum,Bacteria,Bacillota,Clostridia,Peptostreptococcales,Anaerovoracaceae,Anaerovoracaceae_g,Eubacterium saphenum
Atopobium massiliense,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Atopobiaceae,Atopobium,Atopobium massiliense
Priestia megaterium,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Priestia,Priestia megaterium
Eubacterium infirmum,Bacteria,Bacillota,Clostridia,Peptostreptococcales,Anaerovoracaceae,Anaerovoracaceae_g,Eubacterium infirmum
Atlantibacter subterraneus,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Atlantibacter,Atlantibacter subterraneus,Atlantibacter subterraneus
Eubacterium minutum,Bacteria,Bacillota,Clostridia,Peptostreptococcales,Anaerovoracaceae,Anaerovoracaceae_g,Eubacterium minutum
Actinobaculum suis,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Actinobaculum,Actinobaculum suis
Pseudofrankia inefficax,Bacteria,Actinomycetota,Actinomycetes,Frankiales,Frankiaceae,Pseudofrankia,Pseudofrankia inefficax
Salidesulfovibrio onnuriiensis,Bacteria,Thermodesulfobacteriota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Salidesulfovibrio,Salidesulfovibrio onnuriiensis
Limosilactobacillus mucosae,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus mucosae
Lelliottia jeotgali,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Lelliottia,Lelliottia jeotgali
Limosilactobacillus oris,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus oris
Enterobacter cloacae,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter cloacae
Teseptimavirus NCA,Bacteria,Uroviricota,Caudoviricetes,Caudoviricetes_o,Autographiviridae,Teseptimavirus,Teseptimavirus NCA
Acidiferrimicrobium australe,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,Acidiferrimicrobium,Acidiferrimicrobium australe
Streptococcus macedonicus,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus macedonicus
Ligilactobacillus salivarius,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus,Ligilactobacillus salivarius
Eubacterium brachy,Bacteria,Bacillota,Clostridia,Peptostreptococcales,Anaerovoracaceae,Anaerovoracaceae_g,Eubacterium brachy
Streptococcus gallolyticus,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus gallolyticus
Neisseria flava,Bacteria,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria flava
Nitratidesulfovibrio liaohensis,Bacteria,Thermodesulfobacteriota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Nitratidesulfovibrio,Nitratidesulfovibrio liaohensis
Clostridium carnis,Bacteria,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium carnis
Anoxybacillus flavithermus,Bacteria,Bacillota,Bacilli,Bacillales,Anoxybacillaceae,Anoxybacillus,Anoxybacillus flavithermus
Geodermatophilus bullaregiensis,Bacteria,Actinomycetota,Actinomycetes,Geodermatophilales,Geodermatophilaceae,Geodermatophilus,Geodermatophilus bullaregiensis
Klebsiella quasipneumoniae,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella quasipneumoniae
Heyndrickxia ginsengihumi,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Heyndrickxia,Heyndrickxia ginsengihumi
Macrococcoides caseolyticum,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Macrococcoides,Macrococcoides caseolyticum
Faecalimicrobium dakarense,Bacteria,Bacillota,Clostridia,Peptostreptococcales,Peptostreptococcaceae,Faecalimicrobium,Faecalimicrobium dakarense
Lacticaseibacillus suibinensis,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lacticaseibacillus,Lacticaseibacillus suibinensis
Phytobacter massiliensis,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Phytobacter,Phytobacter massiliensis
Kluyvera intestini,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Phytobacter,Kluyvera intestini
Pseudonocardia chloroethenivorans,Bacteria,Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Pseudonocardia,Pseudonocardia chloroethenivorans
Mediterraneibacter gnavus,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Mediterraneibacter,Mediterraneibacter gnavus
Stenotrophomonas hibiscicola,Bacteria,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Stenotrophomonas,Stenotrophomonas hibiscicola
Solirubrobacter taibaiensis,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter,Solirubrobacter taibaiensis
Agrobacterium pusense,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Agrobacterium,Agrobacterium pusense
